Time,Data,Average,SD
 13:39:03   ,775.0,600.1,237.34
 13:39:06   ,671.0,592.2,233.46
 13:39:09   ,405.0,568.9,240.71
 13:39:12   ,557.0,571.0,225.55
 13:39:15   ,516.0,530.9,220.32
 13:39:18   ,703.0,565.6,220.35
 13:39:21   ,536.0,528.2,207.66
 13:39:24   ,739.0,599.3,185.63
 13:39:27   ,751.0,584.5,184.54
 13:39:30   ,739.0,641.2,121.74
 13:39:33   ,409.0,606.2,132.48
 13:39:36   ,669.0,628.6,111.67
 13:39:39   ,400.0,575.5,139.12
 13:39:42   ,789.0,640.8,120.57
 13:39:45   ,815.0,627.7,142.48
 13:39:48   ,529.0,626.4,138.27
 13:39:51   ,727.0,657.4,145.57
 13:39:54   ,441.0,628.1,157.18
 13:39:57   ,401.0,622.9,161.5
 13:40:00   ,532.0,605.0,152.75
 13:40:03   ,586.0,576.6,156.19
 13:40:06   ,426.0,572.9,155.02
 13:40:09   ,800.0,602.0,158.99
 13:40:12   ,647.0,589.3,142.88
 13:40:15   ,797.0,605.4,156.81
 13:40:18   ,812.0,590.1,143.99
 13:40:21   ,688.0,604.5,143.06
 13:40:24   ,434.0,587.6,158.73
 13:40:27   ,642.0,633.1,141.14
 13:40:30   ,717.0,643.9,138.12
 13:40:33   ,488.0,632.0,139.93
 13:40:36   ,208.0,617.1,189.14
 13:40:39   ,760.0,678.5,123.79
 13:40:42   ,751.0,618.4,179.54
 13:40:45   ,757.0,630.3,184.87
 13:40:48   ,533.0,603.3,177.39
 13:40:51   ,665.0,611.0,171.18
 13:40:54   ,722.0,601.2,173.67
 13:40:57   ,679.0,620.0,162.99
 13:41:00   ,780.0,638.1,171.59
 13:41:03   ,766.0,632.9,169.06
 13:41:06   ,719.0,657.4,164.37
 13:41:09   ,525.0,693.8,89.71
 13:41:12   ,618.0,699.0,73.29
 13:41:15   ,681.0,682.7,85.09
 13:41:18   ,827.0,683.4,95.85
 13:41:21   ,571.0,672.6,77.53
 13:41:24   ,701.0,701.8,81.15
 13:41:27   ,330.0,649.6,139.12
 13:41:30   ,699.0,688.7,89.62
 13:41:33   ,762.0,650.0,138.18
 13:41:36   ,737.0,640.8,131.93
 13:41:39   ,735.0,644.9,134.94
 13:41:42   ,597.0,652.3,130.32
 13:41:45   ,289.0,633.2,173.43
 13:41:48   ,712.0,667.1,132.68
 13:41:51   ,777.0,619.8,167.67
 13:41:54   ,586.0,614.8,162.3
 13:41:57   ,168.0,580.6,216.66
 13:42:00   ,753.0,664.7,139.78
 13:42:03   ,699.0,606.2,200.02
 13:42:06   ,845.0,619.9,210.69
 13:42:09   ,880.0,619.6,212.94
 13:42:12   ,796.0,622.2,213.11
 13:42:15   ,570.0,627.9,221.85
 13:42:18   ,304.0,652.0,223.9
 13:42:21   ,305.0,637.9,224.0
 13:42:24   ,729.0,633.0,221.62
 13:42:27   ,778.0,609.8,245.55
 13:42:30   ,409.0,629.0,207.44
 13:42:33   ,833.0,673.9,202.53
 13:42:36   ,774.0,639.0,212.66
 13:42:39   ,595.0,619.9,206.76
 13:42:42   ,529.0,602.7,197.05
 13:42:45   ,493.0,579.0,187.61
 13:42:48   ,253.0,550.9,211.04
 13:42:51   ,449.0,589.4,171.64
 13:42:54   ,725.0,611.8,179.03
 13:42:57   ,813.0,592.6,189.02
 13:43:00   ,547.0,560.7,168.45
 13:43:03   ,627.0,609.1,174.7
 13:43:06   ,194.0,537.2,194.73
 13:43:09   ,836.0,586.7,166.79
 13:43:12   ,627.0,525.7,182.92
 13:43:15   ,510.0,544.7,204.27
 13:43:18   ,709.0,578.0,208.82
 13:43:21   ,212.0,554.0,211.21
 13:43:24   ,647.0,623.5,173.91
 13:43:27   ,801.0,587.6,218.99
 13:43:30   ,313.0,522.2,204.79
 13:43:33   ,705.0,586.8,210.81
 13:43:36   ,693.0,554.2,224.6
 13:43:39   ,812.0,617.2,201.23
 13:43:42   ,811.0,602.8,189.83
 13:43:45   ,761.0,616.3,195.8
 13:43:48   ,839.0,654.2,205.98
 13:43:51   ,615.0,637.0,199.28
